Code,Description
00818951,Broadspeed Logistics JNB Pty Ltd
21374641,Richard Harper Logistics Pty Ltd
21196603,Seipati Transport and Logistics Pty Ltd
01492354,PNR Transport
20723619,NTP Logistics Pty Ltd
21564138,Safrica Logistics (pty) Ltd
20421632,Pro Active Shipping
20578323,Noble Shipping CC
01703989,CCFS Freight Logistics 
21323634,M.A.R Shipping (Pty Ltd
20274807,Umkhumbi Trading Pty Ltd
01414512,Rhenus Logistics (Pty) Ltd
21051820,Rowan Tree 123 Pty Ltd t/a FT Global Logistics
01491366,SDV Freight Services
01645579,KZN Cross Oceans Shipping Services CC
01185390,Lynpher Shipping Import And Export CC
01080832,4P Logistical Solutions Pty Ltd
01793564,Del Shipping and Trading (Pty) Ltd
20293702,Pow Pawn Distributions CC T/A TNC Logistics
20925652,Genesis Shipping CC
20919536,RSP Contractors CC
01283367,FTL Freight And Transit (south Africa)
20717106,Thor Shipping & Transport SA
01777501,Freightworx CC
01350864,Corsair Cargo Services CC
20343266,NVL Logistics CC
01380620,Johnnic Entertainment Holdings Ltd
20800331,Aero Maritime Logistics CC
01054001,Kingfisher Freight Services CC
01837906,KZN Customs Clearing And Forwarding Agents
ZZZ00031,International Forwarding Services KZN Pty Ltd
ZZZ00037,SCM Logistics (Pty) Ltd
00418892,Rayson Shipping (Pty) Ltd
00670853,Crossroads Distribution Pty Ltd T/A Skynet worldwide
2000802,South African Container Depots
ZZZ00022,NVOCC Freight Services (Pty) Ltd
ZZZ00020,Globelink Shipping CC
ZZZ00024,Trifreight Shipping Services
ZZZ00028,World Groupage Services (Cape)
21334481,Cheetah Shipping Pty Ltd
ZZZ00054,Nicholson Shipping SA NVOCC
01498190,Transglobal Cargo (Pty) Ltd
ZZZ00057,Africa Link Intl. Forwarding
ZZZ00101,WPC Logistics SA CC
ZZZ00043,Spectrum Shipping NVOCC
21514897,Tswalanang Logistics (Pty) Ltd
21585631,Compass Logistics International SA
00801510,Santova Logistics SA Pty Ltd
00535160,Smit marine South Africa (Pty) Ltd
20796777,Afristar Freight Services Pty Ltd
20799210,Seven Seas Worldwide SA Pty Ltd
20298860,CTC Cargo Transport Pty Ltd t/a CTC Worldwide Log
00401958,SA Freight Management  Pty Ltd
00906850,Transworld Cargo SA (Pty) Ltd
01646354,Customs Freight Management
01301523,Masakhane Freight CC
ZZZ00005,Ecu Line South Africa
01251905,Cargo Care Freight Services
21310819,Senator International Logistics (Pty) Ltd
20582222,Ditlou Imports and Exports (Pty) Ltd
20255804,Elliance Consolidation and Shipping CC
01688029,Intershipping Services Pty Ltd
ZZZ00018,Atlantic Container Services
20329176,Transglobal Cargo Western Cape Pty Ltd
00506007,Pilot Freight Pty Ltd
01869155,In Time Logistics Pty Ltd
20729189,Seko Worldwide Pty Ltd
21023730,Cross Point Trading 294 Pty Ltd t/a WT Logistics SA
01530889,Ocean Express Line
ZZZ00063,Simbela Logistics CC
01688355,FSS International
20096135,Devoted Container Line (Pty) Ltd
20307840,ECI Freight CC
ZZZ00051,Wilkie and Westover CC
00549500,Concordia Int. Forw. (Pty) Ltd
01850331,Cargo Management and Log.
ZZZ00078,Benny Nagoor Freight Consultants
01642596,Unitrans Freight Forwarding and Clearing Pty Ltd
00722636,Oriental Shipping CC
ZZZ00058,Leykansin Logistics CC
ZZZ00047,Zak-Add Agencies CC
20474863,LTG Logistics Transport Globally Pty Ltd
20784656,In-Line Freight Solutions CC
20576681,Trade Ocean Shipping Services Pty Ltd
00625917,Pronto Clearing CC
01180186,Atlantic Forwarding Cape Pty Ltd
20071568,Intraspeed SA (Pty) Ltd
20234159,Transit Freight Co-Ordinators Pty Ltd
ZZZ00082,Santova NVOCC Pty Ltd
20208037,Inter Logistics (Pty) Ltd
01436247,Hecny Transportation SA Pty Ltd
20050244,Jabez Freight Services Pty Ltd
20135976,Sozo Logistics Pty Ltd
01108350,Seacargo Pty Ltd
ZZZ00004,Atlantic Ocean Line NVO
20865185,Schroeder Logistics CC
01936768,Team Global Force International
21341460,Ready To Trade 113 T/A Exodus Shipping
20642945,Elevation Freight Services Pty Ltd
20493505,Duze Logistics International CC
21019319,Teal Ruby Logistics CC
00572208,Leschaco (Pty) Ltd
21537321,Unified Foods (Pty) Ltd
00281124,BPL Division of Safcor Freight Pty Ltd
00509545,Inter-Sped Gauteng (Pty) Ltd
21332810,Spherical Logistics Pty Ltd
21602990,Deep Blue Ocean Trading 787 CC
01352735,Synergy Worldwide Logistics
01160829,UPS SCS SA (Pty) Ltd
21029194,J.K Kok Logistics
00519426,Customs Services Pty Ltd
ZZZ00053,ESI Container Services CC
01377094,Seaways (Pty) Ltd T/A Socopao South Africa
21058310,ST Logistics Pty Ltd T/A African Project Logistics
01513803,PGF Consultants CC
20624566,GAC Laser International Logistics (Pty) Ltd
20793905,Oriental Global Logistics SA Pty Ltd
ZZZ00021,Damco Sea and Air
20528231,Elite Clearing And Forwarding (Pty) Ltd
ZZZ00014,WPC Logistics S.A. CC
01890607,Laser Logistics
20259010,Crown Strategies CC t/a Crown Logistics
21519864,Dladla Plant Hire Projects
20697923,QI Logistics Pty Ltd
20558111,Forex Brief Pty Ltd
